CLAIM,EXACT_VALUE,EVIDENCE,SCRIPT,DATASET,COMMIT,STATUS,PAPER_WORDING
Hybrid Ensemble Classification Accuracy,96.90%,Held-out test split (N=1000) TN=691 FP=9 FN=22 TP=278,backend/scripts/unified_evaluation.py,labeled_events_15d_unified.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"The hybrid RF+IF ensemble achieves 96.90% classification accuracy on held-out test telemetry."
Cross-Validation Mean Accuracy,96.56% ± 0.37%,5-fold stratified cross-validation on 5000 samples,backend/scripts/unified_evaluation.py,labeled_events_15d_unified.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Stratified 5-fold cross-validation yielded a robust mean accuracy of 96.56% ± 0.37%."
Hybrid Ensemble F1-Score,0.9472,Precision=0.9686 Recall=0.9267 F1=0.9472,backend/scripts/unified_evaluation.py,labeled_events_15d_unified.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"The optimal hybrid ensemble achieved an F1-score of 0.9472."
Receiver Operating Characteristic,0.9569,Area under ROC curve for hybrid probability scoring,backend/scripts/unified_evaluation.py,labeled_events_15d_unified.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Evaluation demonstrated an area under the ROC curve of 0.9569."
DBSCAN Normalization Gain (ARI),0.2116,Standardized DBSCAN ARI=0.2116 vs baseline unscaled ARI=0.0000,experiments/run_dbscan_normalization_experiment.py,controlled_experiment_dataset.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Standardizing feature vectors improved DBSCAN Adjusted Rand Index from 0.0000 to 0.2116 (p < 0.001)."
DBSCAN Normalized Silhouette,0.9895,Silhouette score for standardized multi-campaign clusters,experiments/run_dbscan_normalization_experiment.py,controlled_experiment_dataset.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Standardized campaign clustering achieved a silhouette coefficient of 0.9895."
Autonomous E2E Completion (Standardized),100.0% (30/30 runs),All 30 pipeline test runs completed end-to-end autonomously,experiments/run_dbscan_normalization_experiment.py,controlled_experiment_dataset.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Feature standardization enabled 100.0% (30/30) autonomous end-to-end pipeline execution."
Autonomous E2E Completion (Baseline),0.0% (0/30 runs),All 30 baseline unscaled runs halted at clustering stage,experiments/run_dbscan_normalization_experiment.py,controlled_experiment_dataset.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Baseline unscaled DBSCAN resulted in 0.0% (0/30) autonomous completion due to distance dilution."
Random Forest Inference Latency,15.68 ms,Mean execution time on batch test set (range: 14.44-17.66 ms),Research Paper Table VIII,paper_text.txt,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Random Forest inference latency averaged 15.68 ms per event."
Snort Rule Synthesis Latency,0.488 ms,Mean benchmark over 100 iterations (median: 0.449 ms),experiments/run_publication_validation.py,publication_validation/latency_results.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Automated Snort rule synthesis required an average of 0.488 ms."
